"ROUTE","DEST. SIGN CODE","DESTINATION                                                                                        SIGN CODE                                                                            MESSAGE","DIR","DIV","DEPOT",,"LOC.                                                                                              CODE","RES. GROUP LOC. CODE","ALIEN GROUP LOC. CODE","EFFECTIVE
PICK CODE"
"M4",1049,"42 ST","S",,"MTV",,"0011","0011","1500","A8"
"M4",8040,"BROADWAY-145 ST","N",,"MTV",,"0012","0012","1500","A8"
"M4",8041,"BROADWAY-135 ST","S",,"MTV",,"0011","0011","1500","A8"
"M4",8042,"110 ST-5 AV","N",,"MTV",,"0012","0012","1500","A8"
"M4",8044,"59 ST","N",,"MTV",,"0012","0012","1500","A8"
"M4",8046,"BROADWAY-135 ST","N",,"MTV",,"0012","0012","1500","A8"
"M4",8048,"LIMITED","N",,"MTV",,"0014","0014","1500","A8"
,,"168 ST-BROADWAY",,,,,,,,
"M5",1050,"WASHINGTON HEIGHTS","N",,"MTV",,"0016","0016","1500",
,,"GW BRIDGE",,,,,,,,
"M5",1052,"LIMITED","N",,"MTV",,"0018","0018","1500",
,,"WASHINGTON HEIGHTS",,,,,,,,
,,"GW BRIDGE",,,,,,,,
,,"LIMITED",,,,,,,,
,,"GREENWICH VILLAGE",,,,,,,,
"M5",1054,"BROADWAY-135 ST","N",,"MTV",,"0016","0016","1500",
"M5",1055,"LIMITED","S",,"MTV",,"0017","0017","1500","C10"
,,"SOUTH FERRY",,,,,,,,
,,"via 5 AV/BWAY",,,,,,,,
"M5",1056,"BROADWAY-168 ST","N",,"MTV",,"0016","0016","1500",
"M5",1057,"BROADWAY-135 ST","S",,"MTV",,"0015","0015","1500",
"M5",1058,"BROADWAY-157 ST","N",,"MTV",,"0016","0016","1500",
"M5",1059,"SOUTH FERRY","S",,"MTV",,"0015","0015","1500","C10"
,,"via 5AV/BWAY",,,,,,,,
"M5",8050,"BROADWAY-145 ST","N",,"MTV",,"0016","0016","1500",
"M5",8051,"59 ST","S",,"MTV",,"0015","0015","1500",
"M5",8052,"LIMITED","N",,"MTV",,"0018","0018","1500",
,,"BROADWAY-135 ST",,,,,,,,
"M5",8053,"42 ST","S",,"MTV",,"0015","0015","1500",
"M5",8055,"GREENWICH VILLAGE","S",,"MTV",,"0015","0015","1500",
,,"9 ST",,,,,,,,
"M5",8056,"LIMITED","N",,"MTV",,"0018","0018","1500",
,,"BROADWAY-168 ST",,,,,,,,
