DEPOT,AUTH_ID,PASS_NUMBER,ROUTE,RUN_NUMBER,SERV_ID,DATE,TIMESTAMP
FRPT,OA,038115,FRPT,XL42,,2011-11-11,2011-11-10 13:33:27
FRPT,OA,038115,B52,135,0,2011-11-11,2011-11-10 19:01:09
MJQT,OA,038137,M50,012,2,2011-11-11,2011-11-10 19:53:39
GAVT,OA,038130,GAVT,26,,2011-11-11,2011-11-10 13:43:49
GAVT,OA,038130,B62,735,0,2011-11-11,2011-11-10 21:05:21
GUNT,OA,038143,BX238,002,0,2011-11-11,2011-11-10 19:06:16
GUNT,OA,038136,BX402,040,0,2011-11-11,2011-11-10 19:06:16
126T,OA,038133,126T,XL22,,2011-11-11,2011-11-10 12:49:44
126T,OA,038133,M60,038,0,2011-11-11,2011-11-10 20:28:57
GUNT,OA,038152,BX5,320,0,2011-11-11,2011-11-10 19:06:16
GUNT,OA,038113,BX5,326,0,2011-11-11,2011-11-10 19:06:14
MJQT,OA,038135,M34,033,0,2011-11-11,2011-11-10 19:53:38
GUNT,OA,038121,SBS12,240,0,2011-11-11,2011-11-10 19:06:15
GUNT,OA,038121,GUNT,X01,,2011-11-11,2011-11-10 19:06:15
GUNT,OA,038148,BX12,024,0,2011-11-11,2011-11-10 19:06:16
GUNT,OA,038148,GUNT,006,,2011-11-11,2011-11-04 20:23:55
GAVT,OA,038125,GAVT,25,,2011-11-11,2011-11-10 13:43:44
GAVT,OA,038125,B60,627,0,2011-11-11,2011-11-10 21:05:20
GUNT,OA,038120,GUNT,002,0,2011-11-11,2011-11-10 10:24:23
GUNT,OA,038120,BX44A,123,0,2011-11-11,2011-11-10 19:06:15
GUNT,OA,038126,BX26,119,0,2011-11-11,2011-11-10 19:06:15
GUNT,OA,038117,BX22,001,0,2011-11-11,2011-11-10 19:06:14
GUNT,OA,038124,BX39,034,0,2011-11-11,2011-11-10 19:06:15
KBGT,OA,038134,M100,330,0,2011-11-11,2011-11-10 19:26:51
FRPT,OA,038122,FRPT,XL41,,2011-11-11,2011-11-10 13:33:27
FRPT,OA,038122,Q54,031,2,2011-11-11,2011-11-10 19:01:09
GUNT,OA,038132,GUNT,41,,2011-11-11,2011-11-10 08:54:28
GUNT,OA,038132,GUNT,005,2,2011-11-11,2011-11-10 19:06:15
GUNT,OA,038138,BX39,032,0,2011-11-11,2011-11-10 19:06:16
GUNT,OA,038138,GUNT,009,,2011-11-11,2011-11-04 20:23:54
KBGT,OA,038114,KBGT,010,0,2011-11-11,2011-11-10 19:26:52
KBGT,OA,038114,KBGT,57,,2011-11-11,2011-11-10 12:25:18
KBGT,OA,038114,BX1X2,072,0,2011-11-11,2011-11-10 12:25:18
GUNT,OA,038127,GUNT,42,,2011-11-11,2011-11-10 08:54:31
GUNT,OA,038127,BX22,027,0,2011-11-11,2011-11-10 19:06:15
KBGT,OA,038129,KBGT,58,,2011-11-11,2011-11-10 12:25:20
KBGT,OA,038129,BX13,222,0,2011-11-11,2011-11-10 19:26:56
GUNT,OA,038118,GUNT,37,,2011-11-11,2011-11-10 08:54:17
GUNT,OA,038118,BX22,022,0,2011-11-11,2011-11-10 19:06:15
KBGT,OA,038123,KBGT,59,,2011-11-11,2011-11-10 12:25:23
KBGT,OA,038123,BX3,128,0,2011-11-11,2011-11-10 19:26:56
YONDM,RB,B01162,YONDM,001,,2011-11-11,2011-11-07 12:46:49
YOND,RB,B01162,YONDM,001,,2011-11-11,2011-11-07 12:46:49
BRXTROPHR,RB,B01162,YONDM,001,,2011-11-11,2011-11-07 12:46:49
JFKT,RB,B06935,JFKT,024,,2011-11-11,2011-11-04 14:11:23
FRKT,RB,B06935,Q11,157,0,2011-11-11,2011-11-10 16:34:43
SPCT,RB,B01502,BM3,307,0,2011-11-11,2011-11-10 20:03:08
SPCT,RB,B04160,B103,341,0,2011-11-11,2011-11-10 20:03:20
GUNT,OA,037749,GUNT,001,,2011-11-11,2011-11-04 20:23:49
SPCT,RB,B04169,B103,317,2,2011-11-11,2011-11-10 20:03:12
SPCT,RB,B04169,SPCT,004,,2011-11-11,2011-11-03 10:34:22
SPCT,RB,B01508,BM2,204,0,2011-11-11,2011-11-10 20:03:11
SPCT,RB,B05914,B103,309,0,2011-11-11,2011-11-10 20:03:05
SPCT,RB,B01511,BM5,507,0,2011-11-11,2011-11-10 20:03:19
SPCT,RB,B01512,BM3,303,0,2011-11-11,2011-11-10 20:03:00
SPCT,RB,B04912,B100,043,0,2011-11-11,2011-11-10 20:03:21
SPCT,RB,B01513,BM2,206,0,2011-11-11,2011-11-03 11:14:14
SPCT,RB,B06009,BM5,543,0,2011-11-11,2011-11-10 20:03:23
SPCT,RB,B06127,SPCT,006e,2,2011-11-11,2011-11-11 07:27:49
SPCT,RB,B06127,SPCT,006d,2,2011-11-11,2011-11-11 07:27:49
SPCT,RB,B06127,SPCT,049,,2011-11-11,2011-11-11 07:35:57
SPCT,RB,B06127,SPCT,281,0,2011-11-11,2011-11-11 06:37:42
SPCT,RB,B06127,SPCT,006,2,2011-11-11,2011-11-10 20:02:59
SPCT,RB,B06127,SPCT,006c,2,2011-11-11,2011-11-11 06:37:45
SPCT,RB,B06127,SPCT,006b,2,2011-11-11,2011-11-11 06:37:34
SPCT,RB,B06127,SPCT,006a,2,2011-11-11,2011-11-11 06:37:34
SPCT,RB,B06127,SPCT,013,,2011-11-11,2011-11-03 10:34:37
SPCT,RB,B06008,B103,348,0,2011-11-11,2011-11-10 20:03:24
