DEPOT,AUTH_ID,PASS_NUMBER,ROUTE,RUN_NUMBER,SERV_ID,DATE,TIMESTAMP
126T,TA,001663,126T,XL27,,2011-11-11,2011-11-10 12:47:46
126T,TA,001663,M60,003,0,2011-11-11,2011-11-10 20:28:46
126T,TA,001897,M60,024,0,2011-11-11,2011-11-04 11:02:04
126T,TA,010897,M116,301,2,2011-11-11,2011-11-10 09:52:06
126T,TA,011018,SBS15,146,0,2011-11-11,2011-11-10 11:49:02
126T,TA,011052,M116,308,2,2011-11-11,2011-11-10 20:28:54
126T,TA,011052,SBS15,OTVOL,,2011-11-11,2011-11-10 12:51:20
126T,TA,011052,SBS15,104,0,2011-11-11,2011-11-10 20:28:46
126T,TA,012149,SBS15,118,0,2011-11-11,2011-11-10 20:28:49
126T,TA,013422,126T,XL04,,2011-11-11,2011-11-10 12:47:49
126T,TA,013422,SBS15,106,0,2011-11-11,2011-11-10 20:28:47
126T,TA,013437,126T,XL06,,2011-11-11,2011-11-10 12:47:51
126T,TA,013437,SBS15,111,0,2011-11-11,2011-11-10 20:28:48
126T,TA,013437,SBS15,120,0,2011-11-11,2011-11-11 05:11:31
126T,TA,020419,M60,007,0,2011-11-11,2011-11-10 20:28:47
126T,TA,024065,M116,311,2,2011-11-11,2011-11-10 20:28:56
126T,TA,024065,M15,OTVOL,,2011-11-11,2011-11-10 10:16:10
126T,TA,024065,M15,010,0,2011-11-11,2011-11-10 20:28:47
126T,TA,024598,126T,002,,2011-11-11,2011-11-04 11:27:57
126T,TA,028154,SBS15,140,0,2011-11-11,2011-11-10 20:28:52
126T,TA,029014,M31,013,0,2011-11-11,2011-11-10 20:28:51
126T,TA,029033,M35,207,2,2011-11-11,2011-11-10 20:28:57
126T,TA,029347,SBS15,133,0,2011-11-11,2011-11-10 15:56:36
126T,TA,030207,SBS15,143,0,2011-11-11,2011-11-10 20:28:54
126T,TA,032831,M15,035,0,2011-11-11,2011-11-10 20:28:52
126T,TA,043686,M15,016,0,2011-11-11,2011-11-10 20:28:48
126T,TA,049013,SBS15,103,0,2011-11-11,2011-11-10 20:28:46
126T,TA,058369,SBS15,146,0,2011-11-11,2011-11-10 20:28:54
126T,TA,058369,SBS15,OTVOL,,2011-11-11,2011-11-10 10:16:11
126T,TA,058369,SBS15,105,0,2011-11-11,2011-11-10 20:28:47
ENYT,TA,077165,B42,013,0,2011-11-11,2011-11-10 19:04:05
GUNT,TA,079661,SBS12,207,0,2011-11-11,2011-11-10 19:06:17
126T,TA,085443,M31,004,0,2011-11-11,2011-11-10 12:23:43
126T,TA,103172,M15,019,0,2011-11-11,2011-11-10 20:28:49
126T,TA,104391,SBS15,124,0,2011-11-11,2011-11-10 20:28:50
126T,TA,104397,SBS15,136,0,2011-11-11,2011-11-10 20:28:51
126T,TA,107343,126T,001,0,2011-11-11,2011-11-10 20:28:45
126T,TA,107833,M60,016,0,2011-11-11,2011-11-10 20:28:50
126T,TA,110901,M31,012,2,2011-11-11,2011-11-10 20:28:52
126T,TA,116087,126T,XL16,,2011-11-11,2011-11-04 11:27:50
126T,TA,124244,M15,001,0,2011-11-11,2011-11-10 20:28:45
126T,TA,127020,M15,024,0,2011-11-11,2011-11-10 20:28:50
126T,TA,128733,M15,030,0,2011-11-11,2011-11-10 20:28:52
126T,TA,138001,M31,011,0,2011-11-11,2011-11-10 20:28:51
126T,TA,140951,M116,308,2,2011-11-11,2011-11-10 12:53:48
126T,TA,141363,126T,XL29,,2011-11-11,2011-11-04 11:02:00
WFRT,TA,144492,BX15,031,0,2011-11-11,2011-11-10 19:09:19
126T,TA,157490,M31,002,0,2011-11-11,2011-11-10 20:28:47
126T,TA,158652,M15,011,0,2011-11-11,2011-11-10 12:47:47
126T,TA,164983,M31,003,0,2011-11-11,2011-11-10 20:28:47
126T,TA,175309,126T,001,,2011-11-11,2011-11-04 11:27:56
126T,TA,175309,M15,003,0,2011-11-11,2011-11-10 20:28:45
126T,TA,176431,SBS15,110,0,2011-11-11,2011-11-10 20:28:47
126T,TA,190012,M60,034,0,2011-11-11,2011-11-10 20:28:56
126T,TA,199163,SBS15,121,0,2011-11-11,2011-11-10 20:28:49
MJQT,TA,203915,M23,001,0,2011-11-11,2011-11-10 19:52:37
126T,TA,210841,M60,006,0,2011-11-11,2011-11-10 20:28:46
126T,TA,210872,M15,007,0,2011-11-11,2011-11-10 12:47:48
126T,TA,218281,SBS15,130,0,2011-11-11,2011-11-10 20:28:50
126T,TA,218281,126T,OTVOL,,2011-11-11,2011-11-10 10:16:10
126T,TA,218312,M15,026,0,2011-11-11,2011-11-10 20:28:51
126T,TA,222247,M60,015,0,2011-11-11,2011-11-10 12:47:54
126T,TA,223150,126T,008,0,2011-11-11,2011-11-10 20:28:58
126T,TA,248184,M60,017,0,2011-11-11,2011-11-10 12:49:40
126T,TA,248336,M15,036,0,2011-11-11,2011-11-10 20:28:53
126T,TA,256365,M31,018,0,2011-11-11,2011-11-10 12:49:40
126T,TA,259492,M15,023,2,2011-11-11,2011-11-10 20:28:50
126T,TA,259492,126T,XL10,,2011-11-11,2011-11-10 10:35:33
126T,TA,259492,M15,009,0,2011-11-11,2011-11-10 10:35:33
126T,TA,262762,126T,004,0,2011-11-11,2011-11-10 20:28:54
126T,TA,262762,M15,032a,0,2011-11-11,2011-11-10 20:28:52
126T,TA,269710,SBS15,148,0,2011-11-11,2011-11-10 20:28:54
126T,TA,269710,M15,OTVOL,,2011-11-11,2011-11-10 10:16:10
126T,TA,269710,M15,006,0,2011-11-11,2011-11-10 20:28:46
KBGT,TA,271568,KBGT,27,,2011-11-11,2011-11-10 12:24:14
KBGT,TA,271568,BX55,012,0,2011-11-11,2011-11-10 19:25:17
126T,TA,274048,M31,001,0,2011-11-11,2011-11-10 20:28:47
KBGT,TA,282002,BX9,044,0,2011-11-11,2011-11-10 19:26:44
126T,TA,282895,SBS15,109,0,2011-11-11,2011-11-10 09:57:38
126T,TA,282895,SBS15,109,0,2011-11-11,2011-11-10 20:28:47
126T,TA,284664,SBS15,126,0,2011-11-11,2011-11-10 13:29:27
126T,TA,286077,SBS15,101,0,2011-11-11,2011-11-10 20:28:46
126T,TA,287259,SBS15,126,0,2011-11-11,2011-11-10 20:28:50
126T,TA,287259,126T,005,0,2011-11-11,2011-11-10 13:28:40
126T,TA,287259,126T,005,0,2011-11-11,2011-11-10 13:27:29
126T,TA,287259,M15,009,0,2011-11-11,2011-11-10 10:35:33
126T,TA,289549,SBS15,122,0,2011-11-11,2011-11-10 20:28:49
126T,TA,289936,M31,015,0,2011-11-11,2011-11-10 20:28:52
126T,TA,300823,M31,017,0,2011-11-11,2011-11-04 23:05:45
126T,TA,301671,M15,055,0,2011-11-11,2011-11-10 20:28:57
126T,TA,304494,M116,306,2,2011-11-11,2011-11-10 20:28:53
126T,TA,311602,M31,028,0,2011-11-11,2011-11-10 20:28:57
126T,TA,317078,M116,302,2,2011-11-11,2011-11-10 11:48:21
126T,TA,327004,SBS15,157,0,2011-11-11,2011-11-10 15:58:26
126T,TA,327669,126T,006,0,2011-11-11,2011-11-10 20:28:58
126T,TA,327741,SBS15,129,0,2011-11-11,2011-11-10 20:28:50
126T,TA,327747,126T,009,0,2011-11-11,2011-11-10 20:28:58
126T,TA,327788,M60,012,0,2011-11-11,2011-11-10 11:51:30
126T,TA,330195,M60,014,0,2011-11-11,2011-11-10 20:28:49
126T,TA,334171,126T,001,0,2011-11-11,2011-11-08 13:13:04
126T,TA,334171,126T,X03,0,2011-11-11,2011-11-10 20:28:58
126T,TA,334171,126T,X03,0,2011-11-11,2011-11-08 13:07:13
126T,TA,334171,126T,X03,,2011-11-11,2011-11-10 10:16:11
126T,TA,334171,M15,038,0,2011-11-11,2011-11-10 20:28:53
126T,TA,337267,M60,005,0,2011-11-11,2011-11-10 20:28:46
126T,TA,338216,M116,309,2,2011-11-11,2011-11-10 20:28:56
126T,TA,347690,M60,039,0,2011-11-11,2011-11-10 20:28:58
126T,TA,347690,SBS15,132e,0,2011-11-11,2011-11-10 20:28:53
126T,TA,349484,M15,046,2,2011-11-11,2011-11-10 20:28:55
126T,TA,367075,M35,201,0,2011-11-11,2011-11-10 20:28:47
126T,TA,371466,M60,013,0,2011-11-11,2011-11-10 11:48:48
126T,TA,385846,SBS15,148,0,2011-11-11,2011-11-10 11:49:07
126T,TA,387390,SBS15,130,0,2011-11-11,2011-11-10 11:48:56
126T,TA,388088,M60,011,0,2011-11-11,2011-11-10 20:28:48
MJQT,TA,392358,M66,024,0,2011-11-11,2011-11-10 19:53:37
126T,TA,393262,M116,310,0,2011-11-11,2011-11-10 20:28:55
126T,TA,403012,M15,048,0,2011-11-11,2011-11-10 20:28:56
MJQT,TA,413047,M66,OTVOL,,2011-11-11,2011-11-10 09:33:23
MJQT,TA,413047,M20,110,0,2011-11-11,2011-11-10 19:53:17
126T,TA,413051,SBS15,147,0,2011-11-11,2011-11-10 20:28:54
126T,TA,413051,126T,XL03,,2011-11-11,2011-11-10 12:23:44
126T,TA,413051,M31,004,0,2011-11-11,2011-11-10 20:28:47
126T,TA,413051,126T,OTVOL,,2011-11-11,2011-11-10 10:16:11
126T,TA,417082,M15,015,0,2011-11-11,2011-11-10 20:28:48
126T,TA,426122,SBS15,117,0,2011-11-11,2011-11-10 20:28:49
126T,TA,444423,SBS15,156,0,2011-11-11,2011-11-10 20:28:57
126T,TA,446849,M15,018,0,2011-11-11,2011-11-10 20:28:49
126T,TA,467368,126T,XL07,,2011-11-11,2011-11-10 12:47:51
126T,TA,467368,M15,009,0,2011-11-11,2011-11-10 20:28:46
126T,TA,467368,M35,203,0,2011-11-11,2011-11-11 05:58:37
126T,TA,467368,126T,XL07,,2011-11-11,2011-11-11 05:15:53
126T,TA,473678,M35,202,0,2011-11-11,2011-11-04 11:02:00
126T,TA,496575,M31,009,2,2011-11-11,2011-11-10 20:28:52
126T,TA,509870,SBS15,120,0,2011-11-11,2011-11-10 20:28:49
126T,TA,509870,SBS15,111,0,2011-11-11,2011-11-11 05:11:31
126T,TA,529115,SBS15,142,0,2011-11-11,2011-11-10 20:28:53
126T,TA,532289,M60,004,0,2011-11-11,2011-11-10 20:28:46
126T,TA,534845,126T,XL05,,2011-11-11,2011-11-10 12:47:50
126T,TA,534845,126T,001,2,2011-11-11,2011-11-10 20:28:46
126T,TA,534845,126T,001b,2,2011-11-11,2011-11-11 05:16:27
126T,TA,534845,126T,001a,2,2011-11-11,2011-11-11 05:16:26
126T,TA,534845,M15,009,0,2011-11-11,2011-11-11 05:16:27
126T,TA,534964,M60,018,0,2011-11-11,2011-11-10 20:28:53
126T,TA,554293,SBS15,150,0,2011-11-11,2011-11-10 20:28:55
126T,TA,559937,M60,003,0,2011-11-11,2011-11-10 12:47:46
126T,TA,560603,M116,305,0,2011-11-11,2011-11-10 11:48:24
126T,TA,560618,M31,006,0,2011-11-11,2011-11-10 20:28:48
126T,TA,562725,M116,307,2,2011-11-11,2011-11-10 20:28:53
126T,TA,564945,SBS15,119,0,2011-11-11,2011-11-10 20:28:49
126T,TA,567584,126T,XL24,,2011-11-11,2011-11-10 06:00:47
126T,TA,576001,M116,312,2,2011-11-11,2011-11-10 20:28:57
126T,TA,578888,M15,005,0,2011-11-11,2011-11-10 20:28:46
126T,TA,581502,SBS15,113,0,2011-11-11,2011-11-10 10:56:01
126T,TA,581693,126T,003,0,2011-11-11,2011-11-10 20:28:50
126T,TA,582638,M15,037,0,2011-11-11,2011-11-10 20:28:53
126T,TA,582638,126T,XL09,,2011-11-11,2011-11-10 10:35:34
126T,TA,582638,M15,042,0,2011-11-11,2011-11-10 10:35:34
126T,TA,583941,M31,026,0,2011-11-11,2011-11-10 20:28:57
126T,TA,589002,M15,044,0,2011-11-11,2011-11-10 20:28:55
126T,TA,590555,M15,014,2,2011-11-11,2011-11-10 12:49:38
126T,TA,598453,126T,003,,2011-11-11,2011-11-04 11:27:56
126T,TA,598453,M15,011,0,2011-11-11,2011-11-10 20:28:47
KBGT,TA,599006,BX7,102,0,2011-11-11,2011-11-10 19:23:40
126T,TA,599593,SBS15,139,0,2011-11-11,2011-11-10 20:28:52
126T,TA,603908,M31,008,2,2011-11-11,2011-11-10 11:48:46
126T,TA,608341,M31,014,0,2011-11-11,2011-11-10 12:49:39
126T,TA,608805,M60,028,0,2011-11-11,2011-11-10 20:28:54
126T,TA,608805,126T,OTVOL,,2011-11-11,2011-11-10 10:16:10
126T,TA,608805,126T,002,0,2011-11-11,2011-11-10 20:28:47
126T,TA,613683,M15,053,0,2011-11-11,2011-11-10 12:16:21
126T,TA,615654,M15,043,0,2011-11-11,2011-11-10 20:28:55
126T,TA,615654,M15,OTVOL,,2011-11-11,2011-11-10 10:16:10
126T,TA,615654,M15,008,0,2011-11-11,2011-11-10 20:28:46
126T,TA,619141,M31,010,0,2011-11-11,2011-11-10 20:28:51
126T,TA,620634,SBS15,138,0,2011-11-11,2011-11-10 20:28:51
126T,TA,620996,M15,033,0,2011-11-11,2011-11-10 16:06:58
126T,TA,622117,M116,313,0,2011-11-11,2011-11-10 12:49:44
126T,TA,624377,M60,010,0,2011-11-11,2011-11-10 20:28:48
126T,TA,628556,126T,006,,2011-11-11,2011-11-04 11:27:57
GAVT,TA,639074,Q59,813,0,2011-11-11,2011-11-10 13:35:57
126T,TA,648816,M116,311,2,2011-11-11,2011-11-04 11:02:03
126T,TA,669606,126T,001,2,2011-11-11,2011-11-05 06:15:40
126T,TA,669606,M31,017,0,2011-11-11,2011-11-10 20:28:52
126T,TA,669626,SBS15,154,0,2011-11-11,2011-11-10 20:28:56
126T,TA,673683,M31,020,0,2011-11-11,2011-11-10 20:28:53
126T,TA,673684,M35,203,0,2011-11-11,2011-11-10 20:28:51
126T,TA,674271,SBS15,111,0,2011-11-11,2011-11-10 12:47:51
126T,TA,675650,M15,028,2,2011-11-11,2011-11-10 20:28:52
126T,TA,678097,SBS15,106,0,2011-11-11,2011-11-10 12:47:49
126T,TA,678983,M15,041,0,2011-11-11,2011-11-10 12:49:42
126T,TA,691711,SBS15,116,0,2011-11-11,2011-11-10 20:28:48
126T,TA,692472,M15,031,2,2011-11-11,2011-11-10 20:28:52
126T,TA,695920,M31,016,0,2011-11-11,2011-11-10 20:28:52
126T,TA,701079,M15,017,0,2011-11-11,2011-11-10 20:28:48
126T,TA,702735,SBS15,128,0,2011-11-11,2011-11-10 20:28:50
126T,TA,704133,M15,058,0,2011-11-11,2011-11-10 12:49:46
126T,TA,705001,M15,053,0,2011-11-11,2011-11-10 20:28:57
126T,TA,705001,M15,OTVOL,,2011-11-11,2011-11-10 12:00:05
126T,TA,705001,M60,024,0,2011-11-11,2011-11-10 11:52:50
126T,TA,705001,M15,OTVOL,,2011-11-11,2011-11-10 10:16:10
126T,TA,713879,SBS15,102,0,2011-11-11,2011-11-10 20:28:46
100T,TA,723002,M101,021,0,2011-11-11,2011-11-10 11:23:20
126T,TA,727513,M60,033,0,2011-11-11,2011-11-10 20:28:55
126T,TA,728557,M31,007,0,2011-11-11,2011-11-10 20:28:49
126T,TA,728577,SBS15,131,0,2011-11-11,2011-11-10 20:28:51
126T,TA,731002,M60,002,0,2011-11-11,2011-11-10 20:28:45
126T,TA,741031,M15,002,0,2011-11-11,2011-11-10 20:28:45
WFRT,TA,741641,WFRT,008,,2011-11-11,2011-11-04 11:36:09
126T,TA,744745,M31,023,0,2011-11-11,2011-11-10 20:28:55
126T,TA,748402,M60,031,0,2011-11-11,2011-11-10 20:28:55
126T,TA,750744,SBS15,114,0,2011-11-11,2011-11-10 20:28:48
126T,TA,755230,SBS15,115,0,2011-11-11,2011-11-10 20:28:48
126T,TA,757663,SBS15,127,0,2011-11-11,2011-11-10 20:28:50
126T,TA,757663,M15,056,0,2011-11-11,2011-11-10 20:28:57
MJQT,TA,759972,M104,039,0,2011-11-11,2011-11-10 19:53:38
126T,TA,761653,SBS15,137,0,2011-11-11,2011-11-10 20:28:51
126T,TA,766470,M35,202,0,2011-11-11,2011-11-10 20:28:51
126T,TA,766470,126T,005,0,2011-11-11,2011-11-10 20:28:58
126T,TA,766470,126T,OTVOL,,2011-11-11,2011-11-10 12:51:20
126T,TA,769160,SBS15,125,0,2011-11-11,2011-11-10 20:28:50
126T,TA,774610,M116,301,2,2011-11-11,2011-11-10 20:28:46
126T,TA,774610,M15,037,0,2011-11-11,2011-11-10 09:52:06
126T,TA,774610,M15,042,0,2011-11-11,2011-11-10 20:28:54
126T,TA,774610,M15,OTVOL,,2011-11-11,2011-11-10 10:16:11
126T,TA,777583,SBS15,141,0,2011-11-11,2011-11-10 20:28:52
126T,TA,777887,M60,X04,0,2011-11-11,2011-11-10 20:28:56
126T,TA,777887,M60,X04,,2011-11-11,2011-11-10 10:16:11
126T,TA,777887,M15,013,0,2011-11-11,2011-11-10 20:28:48
126T,TA,780014,126T,XL08,,2011-11-11,2011-11-10 12:47:52
126T,TA,780014,126T,002,2,2011-11-11,2011-11-10 20:28:48
126T,TA,782589,SBS15,108,0,2011-11-11,2011-11-10 20:28:47
126T,TA,786669,M15,012,0,2011-11-11,2011-11-10 12:47:53
126T,TA,803238,126T,004,,2011-11-11,2011-11-04 11:27:57
126T,TA,803238,M15,007,0,2011-11-11,2011-11-10 20:28:46
126T,TA,803238,M15,033d,0,2011-11-11,2011-11-10 20:28:54
126T,TA,803254,M60,036,0,2011-11-11,2011-11-10 20:28:57
MTVT,TA,804002,M2,107,0,2011-11-11,2011-11-10 11:31:09
126T,TA,824896,126T,005,0,2011-11-11,2011-11-10 12:53:41
126T,TA,826526,M116,303,0,2011-11-11,2011-11-10 20:28:49
126T,TA,828164,M31,022,2,2011-11-11,2011-11-10 20:28:54
126T,TA,833032,M15,020,2,2011-11-11,2011-11-10 20:28:50
126T,TA,843776,M60,024,0,2011-11-11,2011-11-04 11:27:51
126T,TA,843776,M60,012,0,2011-11-11,2011-11-10 20:28:48
126T,TA,843814,126T,X02,0,2011-11-11,2011-11-10 20:28:58
126T,TA,843814,126T,X02,,2011-11-11,2011-11-10 10:16:11
126T,TA,843814,M15,022,2,2011-11-11,2011-11-10 20:28:50
126T,TA,854475,M15,048,0,2011-11-11,2011-11-04 11:02:08
126T,TA,867346,SBS15,132h,0,2011-11-11,2011-11-10 20:28:57
126T,TA,867346,M60,009,0,2011-11-11,2011-11-10 20:28:48
126T,TA,871850,SBS15,134,0,2011-11-11,2011-11-10 20:28:51
126T,TA,889173,SBS15,107,0,2011-11-11,2011-11-10 20:28:47
126T,TA,889570,M116,305,0,2011-11-11,2011-11-10 20:28:51
126T,TA,889570,SBS15,OTVOL,,2011-11-11,2011-11-10 10:16:07
126T,TA,889570,SBS15,157,0,2011-11-11,2011-11-10 20:28:57
126T,TA,899484,M15,023,2,2011-11-11,2011-11-04 11:27:49
126T,TA,899574,126T,X01,0,2011-11-11,2011-11-10 20:28:46
126T,TA,899574,126T,X01,0,2011-11-11,2011-11-04 23:04:50
126T,TA,899574,126T,001,0,2011-11-11,2011-11-10 20:28:52
126T,TA,899574,126T,001,0,2011-11-11,2011-11-04 23:04:50
126T,TA,899658,126T,XL01,,2011-11-11,2011-11-05 07:03:31
126T,TA,912712,M15,054,0,2011-11-11,2011-11-10 20:28:57
126T,TA,916543,SBS15,132,0,2011-11-11,2011-11-10 17:50:44
126T,TA,916549,126T,007,0,2011-11-11,2011-11-10 20:28:58
126T,TA,930595,M31,027,0,2011-11-11,2011-11-10 20:28:57
126T,TA,930942,SBS15,123,0,2011-11-11,2011-11-10 20:28:49
126T,TA,936068,M31,025,0,2011-11-11,2011-11-10 20:28:56
MJQT,TA,955152,M66,013,0,2011-11-11,2011-11-10 19:53:04
MJQT,TA,955152,M66,OTVOL,,2011-11-11,2011-11-10 09:33:24
126T,TA,965677,126T,001,0,2011-11-11,2011-11-10 20:28:48
126T,TA,968343,M116,304,2,2011-11-11,2011-11-10 20:28:50
GUNT,TA,968356,BX44A,122,0,2011-11-11,2011-11-10 19:06:25
126T,TA,968476,M116,314,0,2011-11-11,2011-11-10 20:28:57
126T,TA,970004,M35,204,0,2011-11-11,2011-11-10 20:28:52
126T,TA,983596,M60,019,0,2011-11-11,2011-11-10 20:28:53
JGLT,TA,001371,B4,002,0,2011-11-11,2011-11-10 19:21:55
GAVT,TA,002269,B13,013,0,2011-11-11,2011-11-10 21:11:55
JGLT,TA,004209,B9,007,2,2011-11-11,2011-11-10 20:22:30
JGLT,TA,005035,B43,124,2,2011-11-11,2011-11-10 20:22:30
FRPT,TA,005060,B26,028,0,2011-11-11,2011-11-10 19:01:06
JGLT,TA,005289,B11,001,0,2011-11-11,2011-11-10 20:22:30
JGLT,TA,005623,JGLT,007,0,2011-11-11,2011-11-10 19:21:56
JGLT,TA,006055,B16,016,2,2011-11-11,2011-11-10 20:22:30
JGLT,TA,008473,B11,003,0,2011-11-11,2011-11-10 20:22:31
JGLT,TA,008631,B35,040,0,2011-11-11,2011-11-10 20:22:31
JGLT,TA,008670,B35,049,0,2011-11-11,2011-11-10 19:21:56
JGLT,TA,008670,JGLT,003,,2011-11-11,2011-11-01 07:26:45
JGLT,TA,008699,JGLT,XL17,,2011-11-11,2011-11-10 12:54:39
JGLT,TA,008699,JGLT,010,2,2011-11-11,2011-11-10 19:21:56
GUNT,TA,010903,BX5,323,0,2011-11-11,2011-11-10 19:05:10
JGLT,TA,011033,B70,219,0,2011-11-11,2011-11-10 20:22:31
JGLT,TA,011033,B70,OTVOL,,2011-11-11,2011-11-09 23:47:28
JGLT,TA,011619,B68,141,0,2011-11-11,2011-11-10 13:00:07
JGLT,TA,011619,B68,141,0,2011-11-11,2011-11-10 22:52:49
FLTT,TA,012004,B49,034,0,2011-11-11,2011-11-10 19:06:54
ENYT,TA,012164,ENYT,XL19,,2011-11-11,2011-11-10 10:57:46
ENYT,TA,012164,B25,220,0,2011-11-11,2011-11-10 10:57:46
ENYT,TA,012164,ENYT,002,0,2011-11-11,2011-11-11 06:54:39
ENYT,TA,012164,B15,124,0,2011-11-11,2011-11-11 06:55:58
ENYT,TA,012164,ENYT,002,0,2011-11-11,2011-11-10 19:03:55
GAVT,TA,029035,B57,517,0,2011-11-11,2011-11-10 21:12:35
JGLT,TA,029573,B35,063,0,2011-11-11,2011-11-01 07:11:15
JGLT,TA,032465,JGLT,007,0,2011-11-11,2011-11-10 09:49:52
UPKT,TA,038561,B6,206,2,2011-11-11,2011-11-10 19:00:25
JGLT,TA,043005,B35,007,0,2011-11-11,2011-11-10 20:22:36
JGLT,TA,047183,B35,037,0,2011-11-11,2011-11-10 20:22:36
ENYT,TA,057633,B15,161,0,2011-11-11,2011-11-10 11:11:15
JGLT,TA,058372,B16,012,2,2011-11-11,2011-11-10 20:22:36
JGLT,TA,058909,JGLT,012,0,2011-11-11,2011-11-10 19:21:56
JGLT,TA,058909,B6769,020,0,2011-11-11,2011-11-10 10:40:26
GAVT,TA,065954,B38,229,0,2011-11-11,2011-11-10 21:12:59
UPKT,TA,065955,B3,118,0,2011-11-11,2011-11-10 19:00:40
JGLT,TA,066911,B6769,006,0,2011-11-11,2011-11-10 20:22:37
GAVT,TA,066922,GAVT,001,0,2011-11-11,2011-11-10 21:10:54
JGLT,TA,067099,B35,075,0,2011-11-11,2011-11-10 13:00:06
JGLT,TA,082919,B35,001,0,2011-11-11,2011-11-10 20:22:37
JGLT,TA,083498,JGLT,005,2,2011-11-11,2011-11-10 12:47:56
JGLT,TA,083498,B11,006,2,2011-11-11,2011-11-10 19:21:56
JGLT,TA,083508,B9,004,2,2011-11-11,2011-11-10 20:22:37
JGLT,TA,086998,B63,127,0,2011-11-11,2011-11-10 20:22:37
JGLT,TA,104004,B35,013,0,2011-11-11,2011-11-10 20:22:38
JGLT,TA,106509,B16,009,2,2011-11-11,2011-11-01 07:11:17
JGLT,TA,107727,B61,004,0,2011-11-11,2011-11-10 20:22:38
UPKT,TA,107881,X2737,731,2,2011-11-11,2011-11-10 19:00:42
JGLT,TA,111135,B4,005,0,2011-11-11,2011-11-10 20:22:38
JGLT,TA,111214,B63,OTVOL,,2011-11-11,2011-11-10 00:55:26
100T,TA,112871,M86,335,0,2011-11-11,2011-11-10 19:14:48
JGLT,TA,113487,B43,110,2,2011-11-11,2011-11-10 19:21:56
KBGT,TA,121420,BX7,133,0,2011-11-11,2011-11-10 19:27:00
YUKT,TA,129003,YUKT,016,,2011-11-11,2011-11-05 10:41:19
JGLT,TA,129426,B63,116,0,2011-11-11,2011-11-10 20:22:39
JGLT,TA,132139,JGLT,001,0,2011-11-11,2011-11-10 20:22:39
JGLT,TA,147045,JGLT,008,0,2011-11-11,2011-11-10 20:22:41
JGLT,TA,147045,JGLT,OTVOL,,2011-11-11,2011-11-09 23:47:24
JGLT,TA,147055,B9,014,2,2011-11-11,2011-11-10 20:22:41
JGLT,TA,148003,B6769,017,0,2011-11-11,2011-11-10 20:22:42
JGLT,TA,148251,B9,016,2,2011-11-11,2011-11-10 20:22:42
JGLT,TA,151490,JGLT,X19,2,2011-11-11,2011-11-10 12:54:34
JGLT,TA,151490,B35,026,0,2011-11-11,2011-11-10 19:21:56
JGLT,TA,160310,B61,021,0,2011-11-11,2011-11-10 20:22:42
JGLT,TA,161471,B43,111,2,2011-11-11,2011-11-10 20:22:42
JGLT,TA,161471,B43,OTVOL,,2011-11-11,2011-11-09 23:47:24
JGLT,TA,164482,JGLT,XL29,,2011-11-11,2011-11-10 12:58:18
JGLT,TA,164482,B35,053,0,2011-11-11,2011-11-10 19:21:56
JGLT,TA,167139,B43,130,0,2011-11-11,2011-11-10 20:22:43
JGLT,TA,168963,B4,004,0,2011-11-11,2011-11-10 12:48:01
GUNT,TA,177241,BX30,024,0,2011-11-11,2011-11-04 19:47:02
FLTT,TA,189556,B44,074,2,2011-11-11,2011-11-10 19:06:59
JGLT,TA,190017,JGLT,017,2,2011-11-11,2011-11-10 12:57:05
JGLT,TA,190017,B61,019,0,2011-11-11,2011-11-10 19:21:56
JGLT,TA,190186,JGLT,014,2,2011-11-11,2011-11-10 12:53:40
JGLT,TA,190186,B35,027,0,2011-11-11,2011-11-10 19:21:56
JGLT,TA,202890,B16,010,2,2011-11-11,2011-11-10 20:22:43
JGLT,TA,203188,JGLT,XL04,,2011-11-11,2011-11-10 12:51:40
JGLT,TA,203188,B43,107,2,2011-11-11,2011-11-11 05:01:46
JGLT,TA,203362,B35,024,0,2011-11-11,2011-11-10 20:22:43
JGLT,TA,203927,B43,129,0,2011-11-11,2011-11-10 20:22:43
JGLT,TA,205132,B16,005,2,2011-11-11,2011-11-10 12:54:35
JGLT,TA,205680,B68,114,0,2011-11-11,2011-11-10 20:22:43
GAVT,TA,207886,B57,504,0,2011-11-11,2011-11-10 21:10:19
JGLT,TA,210053,B4,006,2,2011-11-11,2011-11-10 20:22:43
JGLT,TA,212240,JGLT,001,,2011-11-11,2011-11-10 19:21:56
JGLT,TA,212240,JGLT,001,2,2011-11-11,2011-11-10 09:53:27
JGLT,TA,212240,B9,011,2,2011-11-11,2011-11-10 09:53:26
JGLT,TA,217002,B11,023,0,2011-11-11,2011-11-10 20:22:43
JGLT,TA,218223,JGLT,X02,0,2011-11-11,2011-11-10 19:21:56
JGLT,TA,218223,JGLT,001,2,2011-11-11,2011-11-10 09:46:05
JGLT,TA,218223,B68,103,0,2011-11-11,2011-11-10 19:21:56
JGLT,TA,218223,B9,OTVOL,,2011-11-11,2011-11-09 23:47:24
JGLT,TA,223002,B43,119,0,2011-11-11,2011-11-10 20:22:44
100T,TA,223798,100T,004,,2011-11-11,2011-11-02 08:56:41
JGLT,TA,230709,JGLT,XL03,,2011-11-11,2011-11-10 12:51:38
JGLT,TA,230709,B35,023,0,2011-11-11,2011-11-10 19:21:56
JGLT,TA,233234,B16,011,2,2011-11-11,2011-11-10 12:57:03
