geometry,base_name,description
"POLYGON ((-74.19564826578166 40.60119627592562 0,-74.19520963190247 40.600769887195916 0,-74.19514993801654 40.60062348049071 0,-74.19643940184554 40.599782356916876 0,-74.19658434482481 40.60022316759159 0,-74.19654229706975 40.60032257810924 0,-74.1963743220626 40.60054244578024 0,-74.19636250547096 40.60080029157894 0,-74.19564826578166 40.60119627592562 0))",MA,
"POLYGON ((-74.001563755027448 40.761218599080223 0,-74.001897266969323 40.760753930525539 0,-73.999370407083063 40.759702137387812 0,-73.999018599933336 40.760160610702883 0,-74.001563755027448 40.761218599080223 0))",MQ,
"POLYGON((-73.95878820447251 40.81993398647805 0,-73.95921346032992 40.819363655247685 0,-73.95701159723103 40.81843592288544 0,-73.95661027170718 40.81902070882481 0,-73.95878820447251 40.81993398647805 0))",MV,
"POLYGON ((-73.937995661577304 40.822165217869937 0,-73.935855612874931 40.821240474326757 0,-73.935462328267718 40.821768883840583 0,-73.937613853991834 40.822669773435322 0,-73.937995661577304 40.822165217869937 0))",OF,
"POLYGON ((-73.932779137500177 40.805548586282178 0,-73.933023951258065 40.805211823209923 0,-73.932230946454737 40.804878291432367 0,-73.93209295961104 40.805057879475093 0,-73.932398479820762 40.805383922578187 0,-73.932779137500177 40.805548586282178 0))",OF_Lot,
"POLYGON ((-73.949222991388652 40.788405307494941 0,-73.95058702740468 40.788976549504753 0,-73.950892438261718 40.788497214519339 0,-73.94959541383939 40.787947094474958 0,-73.94957331752174 40.787935340392579 0,-73.949562260455423 40.78792945875697 0,-73.949222991388652 40.788405307494941 0))",OH,
"POLYGON ((-73.731054411746697 40.716201940010492 0,-73.728890529263381 40.716515766319723 0,-73.728838834607089 40.71699717615828 0,-73.728993635728472 40.717543038872158 0,-73.72930596605265 40.717936564170991 0,-73.729762233907948 40.718245999959933 0,-73.730028200053923 40.718398139577637 0,-73.730533339856819 40.718547213584927 0,-73.730807341266768 40.718593004759647 0,-73.731392115421002 40.718567802882269 0,-73.731634524955325 40.718506842102741 0,-73.731054411746697 40.716201940010492 0))",QV,
"POLYGON ((-73.864401360030172 40.660990061436202 0,-73.864978491539617 40.663288775951393 0,-73.866452336620725 40.66307544616091 0,-73.865954588874985 40.661216828411369 0,-73.865707002255846 40.660806474694233 0,-73.864401360030172 40.660990061436202 0))",SC,
"POLYGON ((-73.993156672402165 40.593258544368631 0,-73.992576107554243 40.59289155693812 0,-73.991123487860051 40.594317790477056 0,-73.9916917869146 40.594680697554637 0,-73.993156672402165 40.593258544368631 0))",UP,
"POLYGON ((-73.993142158699456 40.594357090997157 0,-73.992892591875119 40.594177709133639 0,-73.993257557586844 40.593804332569768 0,-73.992962571079872 40.593618613958647 0,-73.991905987301735 40.594631283936863 0,-73.992479066016415 40.594996827023699 0,-73.993142158699456 40.594357090997157 0))",UP_Lot_1,
"POLYGON ((-73.878044468436613 40.838746063973147 0,-73.87832376688813 40.83870449072424 0,-73.878666641140327 40.838268145848957 0,-73.879195981762265 40.837192339611633 0,-73.878303363698777 40.836948041192727 0,-73.877612557879957 40.836807759186676 0,-73.87587434289108 40.837528345639697 0,-73.87578988456049 40.83764026255264 0,-73.878044468436613 40.838746063973147 0))",WF North,
"POLYGON ((-73.879419422039959 40.836930490488633 0,-73.879857715873214 40.836526970015541 0,-73.880084911453395 40.836236891261599 0,-73.87919302588864 40.835781729717567 0,-73.878526806361137 40.83623815884048 0,-73.877993971537805 40.836577166099019 0,-73.878736285344175 40.836734171527937 0,-73.879419422039959 40.836930490488633 0))",WF South,
"POLYGON ((-73.8762076938354 40.83883979188642 0,-73.87652146715725 40.83832985041954 0,-73.87593838336366 40.83808364366452 0,-73.87561593065875 40.83862666030136 0,-73.8762076938354 40.83883979188642 0))",WF Lot,
"POLYGON ((-73.901425137361684 40.941784591795553 0,-73.899458826234536 40.941692905888779 0,-73.899814189405049 40.944124807024252 0,-73.900838820352973 40.944153787436683 0,-73.901425137361684 40.941784591795553 0))",YO,
"POLYGON ((-74.16587670703592 40.5750293337165 0,-74.167290204761059 40.573287812505662 0,-74.166644888918242 40.572791970325071 0,-74.164337429196067 40.574054984457547 0,-74.164375973893115 40.57432719049195 0,-74.16587670703592 40.5750293337165 0))",YU,
"POLYGON ((-74.166925108487973 40.572371763026972 0,-74.166856158601306 40.572231852660543 0,-74.166619505033395 40.572314356147103 0,-74.163874267903452 40.573873596624338 0,-74.164019344687247 40.573993800564537 0,-74.166925108487973 40.572371763026972 0))",YU Lot,
"POLYGON ((-73.84225370292509 40.82191178536535 0,-73.84251119745028 40.82301587671859 0,-73.84247855299085 40.823023255392016 0,-73.84265793482011 40.82375580804712 0,-73.84269804656051 40.82390160046925 0,-73.84113115394064 40.82411209367751 0,-73.84094066659425 40.82378528701979 0,-73.84048547580727 40.82255895693987 0,-73.84042346701031 40.82217680778388 0,-73.8405461405138 40.82204491798101 0,-73.84137261859469 40.82192492297533 0,-73.84191136058624 40.82184421460289 0,-73.84220734970052 40.82180902414236 0,-73.84225370292509 40.82191178536535 0))",ZEREGA,
